개체폐사사유,소개월령구간,소의종류,폐사두수
일반병,17개월,육우,12
일반병,17개월,젖소,14
일반병,17개월,한우,50
일반병,18개월,육우,11
일반병,18개월,젖소,12
일반병,18개월,한우,56
일반병,19개월,육우,10
일반병,19개월,젖소,5
일반병,19개월,한우,66
일반병,20개월,육우,7
일반병,20개월,젖소,3
일반병,20개월,한우,61
일반병,21개월,육우,4
일반병,21개월,젖소,5
일반병,21개월,한우,96
일반병,22개월,육우,4
일반병,22개월,젖소,6
일반병,22개월,한우,92
일반병,23개월,육우,7
일반병,23개월,젖소,13
일반병,23개월,한우,94
일반병,24개월,육우,5
일반병,24개월,젖소,17
일반병,24개월,한우,72
일반병,25개월,육우,4
일반병,25개월,젖소,29
일반병,25개월,한우,46
일반병,26개월,육우,3
일반병,26개월,젖소,17
일반병,26개월,한우,50
일반병,27개월,육우,2
일반병,27개월,젖소,22
일반병,27개월,한우,27
일반병,28개월,젖소,15
일반병,28개월,한우,38
일반병,29개월,육우,1
일반병,29개월,젖소,18
일반병,29개월,한우,42
일반병,30개월,육우,2
일반병,30개월,젖소,26
일반병,30개월,한우,42
일반병,31개월,육우,1
일반병,31개월,젖소,16
일반병,31개월,한우,44
일반병,32개월,육우,1
일반병,32개월,젖소,11
일반병,32개월,한우,40
일반병,33개월,육우,1
일반병,33개월,젖소,14
일반병,33개월,한우,43
일반병,34개월,젖소,8
일반병,34개월,한우,62
일반병,35개월,육우,1
일반병,35개월,젖소,9
일반병,35개월,한우,41
일반병,36개월,젖소,10
일반병,36개월,한우,24
일반병,37개월,육우,1
일반병,37개월,젖소,16
일반병,37개월,한우,19
일반병,38개월,젖소,14
일반병,38개월,한우,16
일반병,39개월,육우,1
일반병,39개월,젖소,15
일반병,39개월,한우,19
일반병,40개월이상,육우,3
일반병,40개월이상,젖소,728
일반병,40개월이상,한우,643
자연재해(수해 등),02개월,한우,1
자연재해(수해 등),04개월,한우,2
자연재해(수해 등),35개월,한우,1
자연재해(수해 등),40개월이상,젖소,1
자연재해(수해 등),40개월이상,한우,3
