,text
33,"
1. 강태공의 천국…무법자 침입성 잉어 잡기낚시를 사랑하는 강태공들에게 천국이 있다면 바로 여기 아닐까요? 미국의 일리노이주입니다. 가만히 있어도 어른 팔뚝만 한 물고기들이 펄쩍펄쩍 뛰어오르며 존재감을 드러내는데요. 미국 오대호 생태계 파괴의 주범인 침입성 잉어입니다. 이 지역에서는 왕성한 번식력의 침입성 잉어를 몰아내기 위해 17년 전부터 대규모 포획 행사를 개최하고 있는데요. 낚싯대를 넣어놓고 지루하게 기다릴 필요 없이 그저 뜰채 하나 들고 나와 이 월척들을 쓸어 담기만 하면 됩니다. 이때 잡은 물고기는 비료나 동물 사료를 만들고요. 또 행사의 수익금은 노숙인들을 돕는데 사용하고 있는데요. 짜릿한 손맛도 느끼고, 좋은 일도 하고, 이런 게 바로 일석이조 아닐까 싶네요.2. 절벽에서 떨어진 소…헬기 동원 구출작전스페인의 해안가로 헬기가 출동했습니다. 암벽 사이에 헬기를 바짝 붙이고 조심스럽게 안전장비를 내리는데요. 절벽 밑으로 떨어져 오도 가도 못하고 있는 소를 구조하는 현장입니다. 목장으로 돌아가던 중 발을 헛디뎌 추락했는지 매우 지친 상태로 발견됐는데요. 구조대의 신속한 도움으로 다행히 생명을 건질 수 있었습니다. 헬기에서 내려온 구명줄이 이 소에게는 동화 속 동아줄과 다름없었겠네요.(화면출처 : 유튜브 Zenger)3. '풍선 속 다이아몬드 찾기' 쇼핑몰 아수라장건물 천장에서 분홍색 풍선 다발이 쏟아집니다. 사람들이 이 풍선을 잡겠다고 난리인데요. 중국 후베이성의 쇼핑몰 행사 현장입니다. 풍선 속에 다이아몬드를 숨겨놓고 찾는 사람이 임자라고 하자, 순식간에 1천 명 가까이 몰려들었는데요. 풍선을 손에 쥐기 위해 서로 밀치고 발을 밟는 등 질서는 전혀 찾아볼 수 없는 모습이었습니다. 다행히 인명 피해는 없었지만 자칫 압사 사고로 이어질 수도 있었는데요. 쇼핑몰 측의 안일한 안전 의식에 대해 질타가 잇따르고 있습니다. 지금까지 AI가 픽한 세상, 제나가 전해드렸습니다.(화면출처 : bilibili)(기술협력 : AIPARK)
		"
34,"
MIT 해커톤 1위 정민석 연구원, 빅데이터 기반 광주 AI산업 방안 제시



정민석 연구원.[헤럴드경제(광주)=박대성 기자] 광주광역시 의회(의장 정무창)는 시의원 및 의회 사무처 직원 50여명을 대상으로 인공지능(AI) 전문가인 정민석〈사진〉 인공지능윤리연구소 연구원을 초청, '광주 인공지능 R&D 발전방향 분석'이라는 주제의 특강을 가졌다고 밝혔다.7일 광주시의회에 따르면 지난 5일 열린 강연은 △인공지능 산업 성공 요소와 전략적 발전 방향 △세계와 우리나라의 인공지능 트렌드 분석 및 전망 △광주 인공지능 산업 및 정책 분석 등을 강의하고 질의·답변 및 토론 시간을 가졌다.초청 특강을 제안한 안평환 의원은 “광주가 대한민국을 대표하는 AI 선도도시로 도약하기 위해서는 급변하는 환경에 대한 정확한 분석과 그에 따른 미래 전략이 필요하다”며 “8월 중으로 동료 의원들과 연구모임을 구성해서 광주 AI 산업이 성공하기 위한 연구 활동을 지속해 나가겠다”고 말했다.강사로 초빙된 정 연구원은 MIT공대(메사추세츠 공과대학교) 기술정책 석사 과정을 거쳐 포항공대 연구원, 광주과학기술원(지스트) AI 위촉연구원 등을 지냈다. 지난해 10월 열린 MIT 주최 해커톤 대회에서 1위를 차지한 AI 분야 젊은 공학도이다.
"
35,"
			<앵커>인공지능 AI가 못하는 것이 점점 없어지고 있습니다. 아직은 인간 영역인 줄 알았던 예술 분야에서 시도 짓고 작곡도 하고 있었습니다. 그럼 AI가 만든 창작물은 그 저작권까지 인정받을 수 있을까요.정성진 기자가 알아봤습니다.<기자>화면 속 글자가 하나씩 새겨지며 한 편의 시가 완성돼갑니다.이 시를 써 내려가는 작가는 시인이 아닌 바로 인공지능입니다.1만 3천여 편의 시집을 읽으며 실력을 키운 인공지능이 53편의 시를 써서 시집을 발간했습니다.사람의 역할은 '시제'를 제시하고, 인공지능이 쓴 시를 선별하는 것이 전부였습니다.[이 세계를 바라본다.]인공지능이 쓴 시를 인간이 해석하고 전달하기 위한 연극도 준비 중입니다.[김제민/슬릿스코프 대표 : 인공지능을 단순히 어떤 예술가의 도구적 수단으로 보기보다는 같이 공동 창작하는 대상으로 바라보고 작업을 하고 있습니다.]4년간 3만 곡을 작곡한 인공지능도 있습니다.음악의 분위기 등만 설정해주면 힙합부터 국악까지 다양한 장르의 곡을 10분 만에 만들어냅니다.[김태현/포자랩스 최고운영책임자 : (작곡가·평론가들과) 블라인드 테스트를 해봤을 때도 사람이 작곡한 곡과 동일한 수준에 있다고 평가를 받았고요.]인간의 영역으로만 여겨졌던 예술 창작의 영역까지 인공지능의 역할이 커지면서 인공지능이 만든 저작물을 어떻게 보호해야 하는지 논의가 활발해지고 있습니다.인공지능 작곡가가 프랑스에서 저작권협회에 이름을 올리기도 했지만, 여전히 인공지능 그 자체가 저작자로 인정받는 경우는 거의 없습니다.하지만 인공지능이 스스로 만든 저작물이 늘어가는 만큼 누가 얼마나 권리를 갖고 책임을 어떻게 물을 것인지 기준을 정할 필요가 있습니다.[손승우/한국지식재산연구원장 : 인공지능 기술 자체가 인간처럼 어떤 종합적인 판단하는 수준이 아니기 때문에 법적 주체성을 가질 수 있느냐, 과연 인간의 저작권 같은 수준으로 보호해줄 것인가가 (논의의 핵심입니다.)]정부는 몇 년째 인공지능 저작물과 관련한 법제 마련을 추진하고 있지만, 구체적인 법안까지는 아직 내놓지 못하고 있습니다.(영상취재 : 김원배, 영상편집 : 최혜영)
		"
36,"
국내 첫 인공지능 판독기 도입여름 휴가철 대기시간 확 줄어보안검색 탐지율 95%로 올라



김포국제공항 국내선 보안검색장에서 보안검색요원들이 인공지능 엑스레이 탐색 시스템을 이용해 여행객의 소지품에 기내 반입 금지 물품이 있는지를 확인하고 있다. [지홍구 기자] 지난 4일 오후 김포국제공항 국내선 3층 보안검색장.한 승객이 메고 온 검은색 가방이 엑스레이 판독기를 통과하자 보안검색요원 앞 4개 스크린에 가방 속 내용물의 형체가 적나라하게 드러났다. 위쪽 2개 스크린에 수직·수평으로 찍은 엑스레이 영상에 무언가 표적을 찾는 듯한 커서(Cursor)가 물건을 순식간에 훑고 지나갔다. 1초가 채 안 되는 시간이었다. 정시택 한국공항공사 기술연구부장은 ""위쪽 2개 스크린은 인공지능(AI)이 적용된 엑스레이 판독 영상이고, 아래쪽 2개 스크린은 기존 엑스레이 영상""이라며 ""인공지능 엑스레이에서 기내 반입 금지 물품으로 추정되는 물건이 발견되면 물품명과 함께 알람이 울리도록 설계돼 있다""고 말했다. 특히 그는 ""인공지능 검색이 보안검색의 정확성을 높이고 승객의 대기시간을 줄이는 데 큰 도움이 되고 있다""고 덧붙였다.한국공항공사가 2020년 10월 김포공항에 시범 도입한 인공지능 엑스레이 판독 시스템이 2년 만에 탐지율을 95%까지 끌어올리며 차세대 공항 보안용 엑스레이 검색 기술로 관심을 모으고 있다.평균 5초가량 이던 보안검색요원의 판독 시간은 인공지능 엑스레이 판독 시스템 도입으로 평균 4초로 줄어들었다. 여름 성수기 하루에 7만명이 이용하는 김포공항의 혼잡도를 고려할 때 1인당 1초 단축은 대기시간 총량 감소에 절대적 영향을 미친다. 공사는 인공지능 판독 시스템이 탐지 시간을 20%가량 단축하자 오는 9월께 김해·제주·청주·광주 공항으로 시범 운영을 확대하기로 했다.공사는 보안검색요원의 육안 판독에 전적으로 의존하는 기존 엑스레이 시스템의 한계를 보완하는 방법을 찾다 스스로 물체의 패턴을 학습해 결과물을 내주는 딥러닝 기술을 적용해 인공지능 엑스레이 판독 시스템을 개발했다. 의료 분야 인공지능 전문기업인 딥노이드와 협업해 만든 이 시스템에 기내 반입 금지 물품 17종을 설정하고 지금까지 60만장 이상의 관련 물품을 학습시켜 탐지 기능을 향상시켰다. 이 과정에서 공사가 딥노이드와 공동으로 취득한 특허만 7개에 달한다. 특히 지난 2월엔 항공기 안전에 최대 위협이 될 수 있는 총기류, 칼류, 탄약류, 전자충격기, 폭발물류 등 5종을 집중 탐지 목록으로 정해 탐지율을 더 높였다.정 부장은 ""최근 안보 위해 물품은 모양과 크기 등이 다양해 수많은 데이터에 의한 학습 강화가 이뤄져야 정확한 판독이 가능하다""면서 ""실제 승객의 소지 물품 데이터와 공항경찰대, 폭발물처리반(EOD) 등에서 제공하는 위해 물품 정보를 지속적으로 학습시켜 탐지율을 95%까지 끌어올렸다""고 말했다. 실제 공사가 2년에 걸쳐 10회 이상 업그레이드한 인공지능 엑스레이 판독기는 올해 한국산업기술시험원이 수행한 시스템 성능평가에서 95%의 탐지율을 나타냈다. 정 부장은 ""엑스레이 판독시스템이 김해·제주·청주·광주공항으로 확대되면 학습 데이터량이 더 많아져 정확성은 더 높아질 것""이라고 말했다. 공사가 개발한 엑스레이 판독시스템은 소프트웨어 형태여서 기존 엑스레인 판독 시스템과 호환이 가능하다. 특히 보안검색요원의 숙련도가 높을 수록 탐지율이 높은 이전 판독 시스템의 한계를 보완할 시스템으로 관심을 모으고 있다. 윤형중 한국공항공사 사장은 ""인공지능 엑스레이 판독시스템은 보안검색요원이 탐지하고자 하는 물품을 인공지능 기술로 찾아내 보안검색요원에게 알려주는 역할을 한다""면서 ""보안검색요원의 업무 피로도를 줄이고 보안검색업무의 신속·정확성을 높혀 우리나라의 국가 안보 신용도를 높이고, 여객의 대기시간을 줄이는데 기여할 것""이라고 말했다.인공지능 엑스레이 판독시스템의 또 다른 매력은 확장성이다. 보안이 필요한 민간 기업이나 공공부문 등의 요구에 맞춘 커스트마이징이 가능하다. 올해 행정안전부 국가정보자원관리원에 관련 시스템을 납품한 공사는 최근 대기업 납품을 위해 관련 시스템을 준비하고 있다. 공사의 2년내 목표는 물질정보(무기물·유기물·혼합물) 분석까지 가능한 인공지능 시스템을 개발해 국산화 시대를 여는 것이다. 윤 사장은 ""항공보안용 엑스레이 검색장비의 경우 국내 인증 업체가 없어 대부분 외국산에 의존하고 있다""면서 ""핵심 기술을 가진 민간기업과 협업해 2년내 더욱 진일보한 인공지능 엑스레이 검색장비를 만들어 국산화 시대를 열겠다""고 말했다.
"
37,"
2023년 9월 시행 수술실 CCTV 의무화 대비



최근 업무협약을 체결한 에이치엔드림 우인숙 대표(오른쪽) 와 우경정보기술 박윤하 대표의료기기 유통 전문회사 에이치엔드림이 인공지능(AI) 영상분석 전문기업, 우경정보기술과 지능형 수술실 CCTV 영상보안 솔루션 공동사업  협약을 체결했다.  에이치엔드림은 일선 의료기관에 수술장비, 의료기기 등을 공급하며 축적한 다년간의 경험과 노하우로 수술실 환경, 의사 및 환자 니즈를 실시간 제공, 녹화-보안처리-반출 등 일련의 과정을 신속하고 안전하게 배포할 수 있는 최적의 수단을 공급할 계획이다.우경정보기술은 신소프트웨어 상품대상수상, 2021년 SW리딩기업 선정, 지능형 영상 솔루션 조달등록 (GS1등급 획득), 대구시 스타기업 선정 등 공공조달 분야에서 우수성을 인정받고 있다. 특히 콘텐츠 암호화 및 복호화, 전용플레이어 재생, 마스킹 기능을 포함해 수술 시 사용자가 수술에 전념할 수 있도록 모션인식 기능, 객체 탐지, 얼굴 인식 기능도 제공하고 있다.  우인숙 에이치엔드림 대표는 “의료관련분야 사업으로 구축한 노하우와 네트웍을 활용, 사용자 니즈를 정확히 파악해 의사, 환자 모두 만족할 수 있는 최고 솔루션을 개발하겠다”고 밝혔다. 업무협약을 맺은 양사는 추후 시스템 우수성과 의료기관 적합성을 널리 알리기 위해 의료기관 대상의  세미나 및 컨퍼런스에 참여할 예정이다. 스포츠동아 김재범 기자 oldfield@donga.com
"
38,"
			[앵커]인공지능의 시대, 인간만이 할 수 있다고 여겨진 것이 바로 창작이죠.AI 시인이 이런 편견을 깨고, 시집을 낸 데 이어 시극을 무대에 올립니다.그가 작품을 통해 던진 화두는 뭘까요? 김지선 기자가 보도합니다.[기자]인간이 만든 것 가운데 시의 언어만큼 의미가 응축된 것이 또 있을까.이 시극은, 그 언어가 실은 무의미할지도 모른다는 질문을 던집니다.이 연극은 여자와 남자의 이야기가 아니라, 나와 너의 이야기이다. 마침표!작품 속 20편의 시를 지은 이는 인공지능, 시아.AI가 의미 없이 쏟아낸 말의 향연을 표현하는 것은 오롯이 배우의 몫입니다.[박윤석 / <파포스> 배우 : 답이 없으니까 좋은 게 있습니다. 작가의 의도가 물어볼 분이 없어서. 굉장히 넓은 인간을 만나는 느낌이랄까요?]시를 쓰는 아이, 시아는 카카오브레인이 초거대 AI 언어 모델을 기반으로 개발한 인공지능입니다.지난해 말부터 시를 배우기 시작했는데, 만 3천여 편을 학습하고 나자 단어 하나로 30초 만에 시 한 편을 읊을 수 있게 됐습니다.오는 8일엔 시집 '시를 쓰는 이유'도 발간합니다.시아의 언어는 0과 1이지만, 50여 편의 운문엔 인간의 마음을 잡아두는 표현이 가득합니다.앞서 공개된 웹툰 AI 페인터, 그림을 그리는 AI 칼로에 이어 인공지능이 창작 분야에서 영역을 확장하고 있는 겁니다.[김제민 / 인공지능 시아 공동개발·서울예술대학교수 : 굉장히 많은 로봇 신화가 인류를 위협하는 형태의 서사 구조를 갖고 있어요. 기계적 대상과 인간과의 관계를 이분법적으로 보고 싶지 않고요, 상생적인 공진화만이 미래의 문을 열리게 할 것이다….]예술을 시도하는 AI가 우리에게 던지는 화두는 기계와의 공존을 통한 상생의 시너지입니다.YTN 김지선입니다.※ '당신의 제보가 뉴스가 됩니다'[카카오톡] YTN 검색해 채널 추가[전화] 02-398-8585[메일] social@ytn.co.kr
		"
39,"
한화운용, 업계 첫 ETF 출시



 한화자산운용이 국내에서 처음으로 전 세계 인공지능(AI) 관련 핵심 기업에 투자하는 상장지수펀드(ETF)를 내놓는다. 7일 금융투자업계에 따르면 한화자산운용은 아리랑(ARIRANG) 글로벌인공지능산업MV ETF를 이달 17일 상장한다. 전 세계 AI 관련 기업만을 집중적으로 담는 ETF는 국내는 물론 해외에서도 상장된 적이 없어 투자자들의 관심도 커지고 있다.국가별 편입 기업 분포를 보면 미국 기업 비중이 약 80%로 가장 높고 이외에도 영국, 캐나다, 이스라엘, 중국 등 다양한 국가의 기업을 담는다. 미국의 대표 지수사업자 MVIS(MV Index Solution)의 블루스타 아티피셜 인텔리전스 지수를 추종하며 보수는 연 0.5% 수준으로 책정했다.김성훈 한화자산운용 ETF사업본부장은 ""AI 관련 핵심 기술을 보유한 기업을 추려 투자하는 상품""이라며 ""자율주행, 서비스 로봇 등 혁신성장 산업이 경쟁력 확보를 위해 AI는 반드시 뒷받침돼야 하는 기술""이라고 말했다. 해당 ETF는 빅데이터 분석, 정보기술(IT) 인프라스트럭처, 머신러닝, 고객관리시스템(CRM) 자동화 등의 산업을 영위하는 기업을 담는다. 일례로 지난 4일 기준 포트폴리오 비중이 높은 기업은 미국 나스닥 거래소에 상장된 엑슬서비스 홀딩스(ExlService Holdings)다. 1999년 설립돼 전 세계에 720곳 이상의 고객사를 두고 있는 빅데이터 관련 기업이다.AI, 머신러닝 등을 활용해 고객사 매출을 끌어올릴 수 있도록 빅데이터를 토대로 한 솔루션을 제공해 지난해 기준 11억달러(약 1조4000억원)의 매출을 기록했다. 최근 3개월 새 해당 기업 주가는 23% 이상 상승했다. 또 다른 빅데이터 분석 업체인 스플렁크 등 AI 산업에서 입지를 다지고 있는 기업을 다수 편입한다. 세일즈포스, 아마존 등 국내 투자자들에게도 잘 알려진 기업에도 투자한다. 한국신용정보원 등에 따르면 전 세계 AI 시장 규모는 2025년까지 연평균 38% 이상 성장할 것으로 예상된다.
"
40,"
- 8일부터 21일까지 전동화/배터리 부문 등 세자릿수 규모 R&D 경력 모집- 친환경차 전환 시대 맞춰 전동화 통합제어 개발 분야 채용 규모 대폭 확대- 서류전형 단계서 평가 객관성 제고 위해 AI 활용 사전 인터뷰 방식 도입 



     현대자동차가 미래 모빌리티 개발 역량 강화를 위해 대규모 R&D 경력 인재 확보에 나선다.   현대차는 8일부터 21일까지 2주간 ‘현대차 채용 홈페이지’를 통해 연구개발본부 경력 채용 모집을 착수한다고 밝혔다. 모집 부문은 ▲전동화/배터리 ▲차량아키텍처 ▲차량통합제어 HW/SW 개발 등 총 87개 분야이며 채용 규모는 세자릿수 수준이다.   이번 경력 채용은 본격적인 친환경차 전환 시대에 발맞춰 전동화 통합제어 개발 분야 채용 규모를 대폭 확대했으며 기존 사업영역인 고성능차 뿐만 아니라 로보틱스, 수소연료전지 등 신사업 추진 동력을 확보하기 위한 R&D 우수인력 선점을 목표로 하고 있다.   이번 채용은 AI를 활용한 사전 인터뷰를 진행함으로써 평가 객관성을 높일 예정이다. 지원자에게 질문을 하면 응답 과정에서 지원자의 표정, 행동, 음성 등 비언어적 요소를 AI를 통해 분석하는 방식이다. 지원자를 보다 더 면밀하고 정확히 평가하기 위해 기존에 서류 전형과 직무 면접 사이에 진행하던 전화 인터뷰 방식을 AI 활용 화상 인터뷰 방식으로 변경했다.   현대차 관계자는 “이번 대규모 경력 채용은 전동화를 비롯해 급변하고 있는 미래 모빌리티 생태계에서 연구개발 역량을 확보하기 위한 것”이라며 “기존 사업영역뿐만 아니라 신사업 부문 R&D 역량 강화를 통해 모빌리티 시장을 선도할 수 있을 것으로 기대한다”고 밝혔다.   한편 현대차는 작년 9월부터 소프트웨어 경력 개발자를 매월 모집·채용하고 있다. 대졸 신입 채용의 경우, 지원자의 편의성을 높이고자 지난 7월부터 매 홀수월의 1일마다 현대차 채용 홈페이지를 통해 일괄 모집하고 있으며 오는 9월 중 모집 공고를 게시할 예정이다.
		"
41,"
AI 분야 학계·산업계 전문가 20여명으로 구성



포스코센터[촬영 안 철 수](서울=연합뉴스) 권희원 기자 = 포스코그룹은 AI(인공지능) 기술 자문위원회를 신설하고 5일 서울 강남구 포스코센터에서 첫 회의를 개최했다고 밝혔다.    AI 분야 학계·산업계 전문가 20여명으로 구성된 AI 기술 자문위는 신기술 트렌드를 공유하는 동시에 AI를 적용할 수 있는 사업 분야와 핵심 인재를 발굴하고, 비즈니스 전략 등에 대해 조언하는 역할을 하게 된다.    자문위는 학계 전문위원회와 산업계 전문위원회로 나눠 운영될 예정이다.    이날 킥오프(개시) 회의를 개최한 학계 전문위원회는 알고리즘, 계산과학, 데이터사이언스, 영상지능, 언어지능, 예측·제어 등 6개 분야의 대학 교수들로 구성됐다.    정창화 미래기술연구원장, 김주민 미래기술연구원 AI 연구소장, 서영주 포스텍 인공지능연구원장 등 포스코그룹 내 전문가들도 참석해 제조 AI, 경영 AI, 물질 AI, AI 리서치 등 4대 연구 분야의 글로벌 기술 현황을 공유했다.    김주민 AI 연구소장은 ""혁신적 기술 개발을 가속화하고 성공 확률을 높이기 위해서는 개방과 협업을 통한 기술개발 체계의 구축이 필수적""이라며 ""포스코그룹의 AI 관련 연구와 미래 전략 수립에 있어 AI 기술자문위원회가 큰 역할을 해 줄 것으로 기대한다""고 말했다.    로봇, 에너지, 소재 등 산업 분야 AI 전문가로 구성된 산업계 전문위원회는 다음 달에 개최될 예정이다.    hee1@yna.co.kr
"
42,"




KB증권 본사 *재판매 및 DB 금지 [서울=뉴시스] 이승주 기자 = KB증권이 고객 만족과 편의 증대를 위해 인공지능(AI)기술을 적용한 'AI상담 콜봇' 서비스를 시행한다고 5일 밝혔다.고객 계좌에 담보부족이 발생하면 이를 안내해주는 '담보부족 안내 서비스'와 해외주식에 배당 옵션이 발생했을 때 안내하는 '해외주식 배당 옵션 안내 서비스'가 포함된다. 'AI상담 콜봇'이 직접 고객에게 전화를 걸어 상담 서비스도 제공한다. 또 연말까지 금융투자 해피콜과 이상거래 탐지 시스템으로 이체 업무 제한 발생시 고객안내와 제한 해제처리, 지점 업무 처리시 필요한 서류 안내 등도 AI상담 콜봇이 직접 상담할 수 있도록 확대 적용할 계획이다.장승호 KB증권 디지털혁신본부장은 ""앞으로도 인공지능 기술을 기반으로 편리하고 혁신적인 서비스로 업무 효율성을 높일 수 있도록 힘쓰겠다""고 말했다.
"
43,"
토지·건물 정보 프롭테크기업 자산 시세 모니터링내달부터 새롭게 서비스



 토지·건물 정보와 거래 플랫폼인 밸류맵은 일반인에게는 아직 낯설지만 상업용 빌딩 업계에서는 어느 정도 자리 잡은 프롭테크(IT 접목 부동산 서비스 기업) 기업이다. 밸류맵 애플리케이션(앱)과 온라인 사이트의 월 평균 이용자는 약 70만명으로 동종 업계 최고 수준에 이른다. 최근 매일경제와 만난 김범진 밸류맵 대표는 ""8월부터 인공지능(AI)을 통해 자동으로 건축설계를 해주는 서비스를 시작하는 등 차별화된 서비스들을 계속 내놓을 것""이라고 밝혔다. 이 서비스는 소비자가 밸류맵 앱과 온라인 사이트에서 자신이 원하는 토지를 고르면 그 토지에 적합한 다세대, 오피스텔, 아파트, 상가 등 건물 설계안을 10가지 정도 자동으로 제시하는 방식이다. 김 대표는 ""최근 부동산 정체기를 극복하기 위한 방편으로 AI를 이용한 서비스 개발에 집중하고 있으며 플랫폼이 AI를 통해 온라인으로 부동산을 직접 매입하는 '아이바잉(iBuying)' 서비스도 도입할 예정""이라고 설명했다. 밸류맵이 준비하는 아이바잉 서비스는 자산을 매도하고자 하는 사람이 밸류맵 플랫폼에 신청하면 AI가 가치를 판단해 매입하는 것이다. 김 대표는 ""AI가 시세나 건축비, 개발 가치 등을 판단해 사는 것으로 사람들이 매입하는 것보다 시간을 단축할 수 있고 추후 시세 차익과 개발 이익을 노리는 것""이라고 밝혔다. 밸류맵은 자산매입을 위해 수백억 원 규모 펀드를 올해 안에 조성해 급매물이 나올 수 있는 내년부터 본격적으로 AI를 통한 매입에 들어갈 생각이다. 중개 플랫폼들이 단순히 매물 광고에 의존하면 시장 하락기에 어려울 수밖에 없다는 생각에 미래 먹거리로 준비하고 있는 서비스로 밸류맵은 이를 위해 최근 전문 투자회사 '밸류맵IX'를 설립하기도 했다.밸류맵은 또한 기업용 서비스도 확대해 불황을 이겨낼 예정이다. 김 대표는 ""시장이 불안해지면 기업들이 자산 매각에 나설 수 있다. 이 과정에서 시세가 얼마인지 궁금한 기업들을 위해 보유 자산 시세 모니터링 서비스를 오는 9월부터 개별 기업 수주를 받아 진행할 것""이라고 밝혔다. 밸류맵은 이미 모 통신 관련 기업을 통해 관련 서비스 수주를 받기도 했다.
"
