Events

ID,날짜,이벤트 이름,출생 후 일수/연령,설명
"5019","2022.09.04. 오전 7:00","시스템 발정","50","발정 지수: 93.31"
"0110","2022.09.04. 오전 4:58","통증 / 스트레스","615","지속 시간: 14:10, 형태: 통증 스트레스"
"9030","2022.09.04. 오전 4:00","시스템 발정","27","발정 지수: 83.09"
"1189","2022.09.04. 오전 1:00","시스템 발정","50","발정 지수: 49.36"
"9251","2022.09.03. 오후 8:00","시스템 건강","103","건강 지수: 64"
"6057","2022.09.03. 오후 6:11","수정","49","수정 횟수: 1, 씨소: KPN950"
"7052","2022.09.03. 오후 4:00","시스템 발정","63","발정 지수: 93.28"
"3134","2022.09.03. 오전 11:00","시스템 발정","78","발정 지수: 82.04"
"9035","2022.09.03. 오전 8:00","시스템 발정","70","발정 지수: 93.75"
"6034","2022.09.03. 오전 7:00","시스템 발정","79","발정 지수: 94.4"
"6080","2022.09.02. 오후 11:00","시스템 발정","130","발정 지수: 48.34"
"6057","2022.09.02. 오후 3:00","시스템 발정","48","발정 지수: 75.12"
"9251","2022.09.02. 오후 1:00","시스템 발정","102","발정 지수: 79.71"
"0075","2022.09.02. 오전 9:36","Flex 태그 제거","791","제거된 태그: 10070081, 태그 종류: FLEX"
"0075","2022.09.02. 오전 9:36","양성","791","결과: 양성, 수태된 수정 날짜: 2022.04.20., 임신 일수: 135 일"
"5057","2022.09.02. 오전 9:36","Flex 태그 제거","152","제거된 태그: 10058478, 태그 종류: FLEX"
"5057","2022.09.02. 오전 9:35","양성","152","결과: 양성, 수태된 수정 날짜: 2022.06.04., 임신 일수: 90 일"
"5030","2022.09.02. 오전 9:21","분만","2693","신규 분만 수: 6, 임신 일수: 286, 목적지 그룹: 2동"
"0054","2022.09.02. 오전 9:21","분만","837","신규 분만 수: 1, 임신 일수: 292, 목적지 그룹: 3동"
"6078","2022.09.02. 오전 5:00","시스템 발정","91","발정 지수: 70.67"
"8039","2022.09.01. 오후 6:11","수정","69","수정 횟수: 1, 씨소: KPN950"
"9018","2022.09.01. 오후 5:19","Flex 태그 제거","174","제거된 태그: 10057879, 태그 종류: FLEX"
"9018","2022.09.01. 오후 5:14","양성","174","결과: 양성, 수태된 수정 날짜: 2022.04.27., 임신 일수: 127 일"
"5014","2022.09.01. 오후 5:13","Flex 태그 제거","189","제거된 태그: 10058235, 태그 종류: FLEX"
"5014","2022.09.01. 오후 5:13","양성","189","결과: 양성, 수태된 수정 날짜: 2022.04.09., 임신 일수: 145 일"
"8087","2022.09.01. 오후 5:13","Flex 태그 제거","167","제거된 태그: 10059689, 태그 종류: FLEX"
"8087","2022.09.01. 오후 5:13","양성","167","결과: 양성, 수태된 수정 날짜: 2022.04.28., 임신 일수: 126 일"
"009","2022.09.01. 오후 5:13","Flex 태그 제거","591","제거된 태그: 10057864, 태그 종류: FLEX"
"009","2022.09.01. 오후 5:13","양성","591","결과: 양성, 수태된 수정 날짜: 2022.06.17., 임신 일수: 76 일"
"6070","2022.09.01. 오후 5:12","Flex 태그 제거","155","제거된 태그: 10059701, 태그 종류: FLEX"
"6070","2022.09.01. 오후 5:12","양성","155","결과: 양성, 수태된 수정 날짜: 2022.05.26., 임신 일수: 98 일"
"0205","2022.09.01. 오후 5:12","Flex 태그 제거","205","제거된 태그: 10059637, 태그 종류: FLEX"
"0205","2022.09.01. 오후 5:12","양성","205","결과: 양성, 수태된 수정 날짜: 2022.04.02., 임신 일수: 152 일"
"9019","2022.09.01. 오후 5:12","Flex 태그 제거","188","제거된 태그: 10057892, 태그 종류: FLEX"
"9019","2022.09.01. 오후 5:11","양성","188","결과: 양성, 수태된 수정 날짜: 2022.06.18., 임신 일수: 75 일"
"5085","2022.09.01. 오후 5:11","Flex 태그 제거","206","제거된 태그: 10057997, 태그 종류: FLEX"
"5085","2022.09.01. 오후 5:11","양성","206","결과: 양성, 수태된 수정 날짜: 2022.04.24., 임신 일수: 130 일"
"4062","2022.09.01. 오후 5:11","Flex 태그 제거","334","제거된 태그: 10059538, 태그 종류: FLEX"
"4062","2022.09.01. 오후 5:10","양성","334","결과: 양성, 수태된 수정 날짜: 2022.04.07., 임신 일수: 147 일"
"3038","2022.09.01. 오후 5:10","Flex 태그 제거","230","제거된 태그: 10060160, 태그 종류: FLEX"
"3038","2022.09.01. 오후 5:10","양성","230","결과: 양성, 수태된 수정 날짜: 2022.04.07., 임신 일수: 147 일"
"0013","2022.09.01. 오후 5:10","Flex 태그 제거","125","제거된 태그: 10059116, 태그 종류: FLEX"
"0013","2022.09.01. 오후 5:10","양성","125","결과: 양성, 수태된 수정 날짜: 2022.06.13., 임신 일수: 80 일"
"3517","2022.09.01. 오후 5:10","Flex 태그 제거","206","제거된 태그: 10058326, 태그 종류: FLEX"
"3517","2022.09.01. 오후 5:09","양성","206","결과: 양성, 수태된 수정 날짜: 2022.04.08., 임신 일수: 146 일"
"9100","2022.09.01. 오후 5:09","Flex 태그 제거","250","제거된 태그: 10058612, 태그 종류: FLEX"
"9100","2022.09.01. 오후 5:09","양성","250","결과: 양성, 수태된 수정 날짜: 2022.04.23., 임신 일수: 131 일"
"7090","2022.09.01. 오후 5:09","Flex 태그 제거","272","제거된 태그: 10058495, 태그 종류: FLEX"
"7090","2022.09.01. 오후 5:09","양성","272","결과: 양성, 수태된 수정 날짜: 2022.03.26., 임신 일수: 159 일"
"0103","2022.09.01. 오후 5:08","Flex 태그 제거","635","제거된 태그: 10060136, 태그 종류: FLEX"
"0103","2022.09.01. 오후 5:08","양성","635","결과: 양성, 수태된 수정 날짜: 2022.04.04., 임신 일수: 150 일"
"4069","2022.09.01. 오후 5:08","Flex 태그 제거","214","제거된 태그: 10074927, 태그 종류: FLEX"
"4069","2022.09.01. 오후 5:08","양성","214","결과: 양성, 수태된 수정 날짜: 2022.03.28., 임신 일수: 157 일"
"9022","2022.09.01. 오후 5:07","Flex 태그 제거","103","제거된 태그: 10060144, 태그 종류: FLEX"
"9022","2022.09.01. 오후 5:07","양성","103","결과: 양성, 수태된 수정 날짜: 2022.07.16., 임신 일수: 47 일"
"1123","2022.09.01. 오후 5:07","Flex 태그 제거","222","제거된 태그: 10058663, 태그 종류: FLEX"
"1123","2022.09.01. 오후 5:07","양성","222","결과: 양성, 수태된 수정 날짜: 2022.04.29., 임신 일수: 125 일"
"4047","2022.09.01. 오후 5:07","Flex 태그 제거","171","제거된 태그: 10070206, 태그 종류: FLEX"
"4047","2022.09.01. 오후 5:07","양성","171","결과: 양성, 수태된 수정 날짜: 2022.04.18., 임신 일수: 136 일"
"0108","2022.09.01. 오후 5:06","Flex 태그 제거","625","제거된 태그: 10059030, 태그 종류: FLEX"
"0108","2022.09.01. 오후 5:06","양성","625","결과: 양성, 수태된 수정 날짜: 2022.04.07., 임신 일수: 147 일"
"110","2022.09.01. 오후 5:06","Flex 태그 제거","591","제거된 태그: 10069779, 태그 종류: FLEX"
"110","2022.09.01. 오후 5:06","양성","591","결과: 양성, 수태된 수정 날짜: 2022.05.11., 임신 일수: 113 일"
"7036","2022.09.01. 오후 5:06","Flex 태그 제거","266","제거된 태그: 10058230, 태그 종류: FLEX"
"7036","2022.09.01. 오후 5:05","양성","266","결과: 양성, 수태된 수정 날짜: 2022.04.03., 임신 일수: 151 일"
"7039","2022.09.01. 오후 5:05","Flex 태그 제거","136","제거된 태그: 10058233, 태그 종류: FLEX"
"7039","2022.09.01. 오후 5:05","양성","136","결과: 양성, 수태된 수정 날짜: 2022.07.21., 임신 일수: 42 일"
"9242","2022.09.01. 오후 4:47","Flex 태그 제거","126","제거된 태그: 10059594, 태그 종류: FLEX"
"9242","2022.09.01. 오후 4:46","양성","126","결과: 양성, 수태된 수정 날짜: 2022.06.20., 임신 일수: 73 일"
"0014","2022.09.01. 오후 4:46","Flex 태그 제거","202","제거된 태그: 10060130, 태그 종류: FLEX"
"0014","2022.09.01. 오후 4:46","양성","202","결과: 양성, 수태된 수정 날짜: 2022.05.01., 임신 일수: 123 일"
"0023","2022.09.01. 오후 4:46","Flex 태그 제거","197","제거된 태그: 10077721, 태그 종류: FLEX"
"0023","2022.09.01. 오후 4:46","양성","197","결과: 양성, 수태된 수정 날짜: 2022.04.07., 임신 일수: 147 일"
"3100","2022.09.01. 오후 4:46","Flex 태그 제거","134","제거된 태그: 10060203, 태그 종류: FLEX"
"3100","2022.09.01. 오후 4:46","양성","134","결과: 양성, 수태된 수정 날짜: 2022.06.01., 임신 일수: 92 일"
"4033","2022.09.01. 오후 4:45","Flex 태그 제거","136","제거된 태그: 10058596, 태그 종류: FLEX"
"4033","2022.09.01. 오후 4:45","양성","136","결과: 양성, 수태된 수정 날짜: 2022.06.30., 임신 일수: 63 일"
"5088","2022.09.01. 오후 4:45","Flex 태그 제거","121","제거된 태그: 10059553, 태그 종류: FLEX"
"5088","2022.09.01. 오후 4:45","양성","121","결과: 양성, 수태된 수정 날짜: 2022.06.15., 임신 일수: 78 일"
"0001","2022.09.01. 오후 4:44","Flex 태그 제거","195","제거된 태그: 10057870, 태그 종류: FLEX"
"0001","2022.09.01. 오후 4:44","양성","195","결과: 양성, 수태된 수정 날짜: 2022.04.01., 임신 일수: 153 일"
"8058","2022.09.01. 오후 4:38","Flex 태그 제거","55","제거된 태그: 10057897, 태그 종류: FLEX"
"112","2022.09.01. 오전 11:00","시스템 발정","225","발정 지수: 64.92"
"0053","2022.09.01. 오전 9:48","분만","838","신규 분만 수: 1, 임신 일수: 289, 목적지 그룹: 3동"
"0041","2022.09.01. 오전 8:00","시스템 발정","139","발정 지수: 83.34"
"8039","2022.09.01. 오전 7:00","시스템 발정","69","발정 지수: 96.54"
"8056","2022.09.01. 오전 5:00","시스템 발정","45","발정 지수: 94.59"
"0041","2022.09.01. 오전 4:18","통증 / 스트레스","139","지속 시간: 14:20, 형태: 통증 스트레스"
"0041","2022.09.01. 오전 4:00","시스템 건강","139","건강 지수: 75"
"3111","2022.08.31. 오후 5:00","시스템 발정","111","발정 지수: 66.62"
"9094","2022.08.31. 오전 9:49","분만","1021","신규 분만 수: 2, 임신 일수: 280, 목적지 그룹: 2동"
"8027","2022.08.31. 오전 8:00","시스템 발정","19","발정 지수: 91.84"
"8060","2022.08.31. 오전 6:00","시스템 발정","35","발정 지수: 89.76"
"8065","2022.08.31. 오전 6:00","시스템 발정","49","발정 지수: 95.39"
"9046","2022.08.30. 오후 6:11","수정","50","수정 횟수: 1, 씨소: KPN950"
"8078","2022.08.30. 오후 6:10","수정","90","수정 횟수: 1, 씨소: KPN950"
"120","2022.08.30. 오후 6:10","수정","576","수정 횟수: 1, 씨소: KPN950"
"3026","2022.08.30. 오후 3:00","시스템 발정","71","발정 지수: 94.98"
"8078","2022.08.30. 오전 5:00","시스템 발정","90","발정 지수: 93.26"
"9046","2022.08.30. 오전 5:00","시스템 발정","50","발정 지수: 93.76"
"1054","2022.08.30. 오전 5:00","시스템 발정","170","발정 지수: 55.35"
"1054","2022.08.30. 오전 2:40","통증 / 스트레스","170","지속 시간: 13:40, 형태: 통증 스트레스"
"8080","2022.08.29. 오후 6:09","수정","52","수정 횟수: 1, 씨소: KPN950"
"7020","2022.08.29. 오후 6:08","수정","175","수정 횟수: 1, 씨소: KPN950"
"0008","2022.08.29. 오후 6:08","수정","44","수정 횟수: 1, 씨소: KPN950"
"0008","2022.08.29. 오후 3:00","시스템 발정","44","발정 지수: 94.95"
"8080","2022.08.29. 오전 7:00","시스템 발정","52","발정 지수: 91.84"
"003B","2022.08.29. 오전 7:00","시스템 발정","602","발정 지수: 62.61"
"7020","2022.08.29. 오전 6:00","시스템 발정","175","발정 지수: 81.81"
"006","2022.08.29. 오전 6:00","시스템 발정","598","발정 지수: 92.31"
"8052","2022.08.29. 오전 6:00","시스템 발정","42","발정 지수: 71.09"
"110","2022.08.28. 오후 8:12","통증 / 스트레스","587","지속 시간: 15:50, 형태: 통증 스트레스"
"8081","2022.08.28. 오후 5:45","분만","1493","신규 분만 수: 3, 임신 일수: 283, 목적지 그룹: 2동"
"1054","2022.08.28. 오전 7:00","시스템 발정","168","발정 지수: 70.18"
"1189","2022.08.28. 오전 7:00","시스템 발정","43","발정 지수: 52.14"
"3038","2022.08.28. 오전 4:00","시스템 발정","226","발정 지수: 85.15"
"7007","2022.08.27. 오후 10:52","통증 / 스트레스","116","지속 시간: 16:10, 형태: 통증 스트레스"
"8029","2022.08.27. 오후 6:07","수정","57","수정 횟수: 1, 씨소: KPN950"
"5018","2022.08.27. 오후 6:07","수정","78","수정 횟수: 1, 씨소: KPN950"
"6078","2022.08.27. 오후 6:06","수정","85","수정 횟수: 1, 씨소: KPN950"
"4078","2022.08.27. 오후 6:06","수정","79","수정 횟수: 1, 씨소: KPN950"
"6078","2022.08.27. 오후 2:00","시스템 발정","85","발정 지수: 93.46"
"0052","2022.08.27. 오전 10:35","분만","833","신규 분만 수: 1, 임신 일수: 290, 목적지 그룹: 3동"
"4078","2022.08.27. 오전 10:00","시스템 발정","79","발정 지수: 88.54"
"5018","2022.08.27. 오전 6:00","시스템 발정","78","발정 지수: 95.29"
"8060","2022.08.27. 오전 5:00","시스템 발정","31","발정 지수: 64.03"
"8054","2022.08.27. 오전 5:00","시스템 발정","62","발정 지수: 49.02"
"9222","2022.08.27. 오전 4:00","시스템 발정","23","발정 지수: 78.06"
"8029","2022.08.27. 오전 1:00","시스템 발정","57","발정 지수: 94.62"
"9019","2022.08.26. 오후 9:49","통증 / 스트레스","182","지속 시간: 22:00, 형태: 통증 스트레스"
"3040","2022.08.26. 오후 8:00","시스템 발정","434","발정 지수: 89.32"
"9057","2022.08.26. 오후 4:31","분만","1168","신규 분만 수: 2, 임신 일수: 285, 목적지 그룹: 2동"
"7007","2022.08.26. 오후 2:33","통증 / 스트레스","115","지속 시간: 13:10, 형태: 통증 스트레스"
"8048","2022.08.25. 오후 8:00","시스템 건강","141","건강 지수: 78"
"7007","2022.08.25. 오후 2:42","통증 / 스트레스","114","지속 시간: 21:30, 형태: 통증 스트레스"
"7073","2022.08.25. 오후 12:00","시스템 발정","57","발정 지수: 60.67"
"8048","2022.08.25. 오전 6:20","통증 / 스트레스","141","지속 시간: 14:10, 형태: 통증 스트레스"
"4062","2022.08.25. 오전 2:00","시스템 발정","327","발정 지수: 94.46"
"8071","2022.08.25. 오전 2:00","시스템 발정","20","발정 지수: 86.32"
"7007","2022.08.24. 오후 10:41","통증 / 스트레스","113","지속 시간: 12:00, 형태: 통증 스트레스"
"5048","2022.08.24. 오후 6:06","수정","51","수정 횟수: 1, 씨소: KPN950"
"8042","2022.08.24. 오후 6:05","수정","76","수정 횟수: 1, 씨소: KPN950"
"6041","2022.08.24. 오후 6:05","수정","131","수정 횟수: 2, 씨소: KPN950, 간격: 21"
"0047","2022.08.24. 오후 6:03","수정","123","수정 횟수: 2, 씨소: KPN950, 간격: 51"
"5046","2022.08.24. 오후 3:00","시스템 발정","185","발정 지수: 95.95"
"5048","2022.08.24. 오전 10:00","시스템 발정","51","발정 지수: 80.34"
"6041","2022.08.24. 오전 10:00","시스템 발정","131","발정 지수: 97.31"
"4072","2022.08.24. 오전 8:57","분만","2842","신규 분만 수: 5, 임신 일수: 300, 목적지 그룹: 2동"
"7100","2022.08.24. 오전 8:00","시스템 발정","54","발정 지수: 87.4"
"8042","2022.08.24. 오전 7:00","시스템 발정","76","발정 지수: 95.43"
"0036","2022.08.23. 오후 6:02","수정","60","수정 횟수: 1, 씨소: KPN950"
"2018","2022.08.23. 오후 6:00","수정","122","수정 횟수: 3, 씨소: KPN950, 간격: 46"
"1051","2022.08.23. 오후 5:59","수정","86","수정 횟수: 2, 씨소: KPN950, 간격: 25"
"5019","2022.08.23. 오후 5:58","수정","38","수정 횟수: 1, 씨소: KPN950"
"1093","2022.08.23. 오후 5:54","수정","125","수정 횟수: 1, 씨소: KPN950"
"0047","2022.08.23. 오전 10:00","시스템 발정","122","발정 지수: 98.45"
"0036","2022.08.23. 오전 9:00","시스템 발정","60","발정 지수: 83.2"
"2018","2022.08.23. 오전 6:00","시스템 발정","122","발정 지수: 98"
"0046","2022.08.23. 오전 6:00","시스템 발정","24","발정 지수: 91.79"
"7020","2022.08.22. 오후 10:39","통증 / 스트레스","168","지속 시간: 17:20, 형태: 통증 스트레스"
"9038","2022.08.22. 오후 8:46","통증 / 스트레스","21","지속 시간: 16:40, 형태: 통증 스트레스"
"1189","2022.08.22. 오후 5:54","수정","37","수정 횟수: 1, 씨소: KPN950"
"1093","2022.08.22. 오후 4:00","시스템 발정","124","발정 지수: 90.85"
"7210","2022.08.22. 오후 4:00","시스템 발정","37","발정 지수: 56.82"
"5019","2022.08.22. 오후 4:00","시스템 발정","37","발정 지수: 78.37"
"3122","2022.08.22. 오후 3:53","분만","3300","신규 분만 수: 7, 임신 일수: 297, 목적지 그룹: 2동"
"8060","2022.08.22. 오후 3:00","시스템 발정","26","발정 지수: 93.43"
"7029","2022.08.22. 오후 12:03","분만","1957","신규 분만 수: 4, 임신 일수: 290, 목적지 그룹: 2동"
"1051","2022.08.22. 오후 12:00","시스템 발정","85","발정 지수: 93.79"
"1189","2022.08.22. 오전 8:00","시스템 발정","37","발정 지수: 77.04"
"6006","2022.08.22. 오전 5:00","시스템 발정","64","발정 지수: 83.76"
"3114","2022.08.22. 오전 4:00","시스템 발정","20","발정 지수: 50.67"
"8027","2022.08.22. 오전 3:00","시스템 건강","10","건강 지수: 78"
"7006","2022.08.21. 오후 8:11","통증 / 스트레스","127","지속 시간: 17:30, 형태: 통증 스트레스"
"4052","2022.08.21. 오후 8:10","통증 / 스트레스","53","지속 시간: 17:20, 형태: 통증 스트레스"
"4052","2022.08.21. 오후 4:00","시스템 건강","53","건강 지수: 69"
"8051","2022.08.21. 오후 12:48","분만","1540","신규 분만 수: 3, 임신 일수: 288, 목적지 그룹: 2동"
"5011","2022.08.21. 오전 6:00","시스템 발정","127","발정 지수: 90.84"
"1054","2022.08.21. 오전 5:00","시스템 발정","161","발정 지수: 73.03"
"0034","2022.08.20. 오후 8:34","통증 / 스트레스","112","지속 시간: 17:40, 형태: 통증 스트레스"
"7006","2022.08.20. 오후 7:58","통증 / 스트레스","126","지속 시간: 18:40, 형태: 통증 스트레스"
"9030","2022.08.20. 오후 6:00","시스템 건강","12","건강 지수: 46"
"8054","2022.08.20. 오후 3:00","시스템 발정","55","발정 지수: 93.95"
"7073","2022.08.20. 오후 1:00","시스템 발정","52","발정 지수: 93.43"
"5216","2022.08.20. 오전 12:00","시스템 발정","71","발정 지수: 54.46"
"7015","2022.08.19. 오후 8:00","시스템 건강","12","건강 지수: 71"
"4068","2022.08.19. 오전 11:57","분만","2847","신규 분만 수: 6, 임신 일수: 298, 목적지 그룹: 아래"
"5036","2022.08.19. 오전 11:00","시스템 발정","162","발정 지수: 54.42"
"7026","2022.08.19. 오전 8:00","시스템 건강","111","건강 지수: 71"
"6006","2022.08.18. 오후 8:15","통증 / 스트레스","60","지속 시간: 29:50, 형태: 통증 스트레스"
"9291","2022.08.18. 오후 6:46","분만","1046","신규 분만 수: 2, 임신 일수: 287, 목적지 그룹: 2동"
"0018","2022.08.18. 오후 2:43","수정","45","수정 횟수: 1, 씨소: KPN950"
"0006","2022.08.18. 오후 12:00","시스템 발정","212","발정 지수: 93.23"
"7015","2022.08.18. 오전 7:00","시스템 발정","11","발정 지수: 73.67"
"3517","2022.08.18. 오전 7:00","시스템 발정","192","발정 지수: 95.56"
"7006","2022.08.17. 오후 10:13","통증 / 스트레스","123","지속 시간: 18:40, 형태: 통증 스트레스"
"7006","2022.08.17. 오후 10:00","시스템 건강","123","건강 지수: 79"
"125","2022.08.17. 오후 8:55","그룹 변경","557","새 그룹: 3동"
"125","2022.08.17. 오후 8:55","우군 입식","557","상태: 수정 준비된 육성우"
"123","2022.08.17. 오후 8:54","그룹 변경","558","새 그룹: 3동"
"123","2022.08.17. 오후 8:54","우군 입식","558","상태: 수정 준비된 육성우"
"120","2022.08.17. 오후 8:54","그룹 변경","563","새 그룹: 3동"
"120","2022.08.17. 오후 8:54","우군 입식","563","상태: 수정 준비된 육성우"
"A140","2022.08.17. 오후 8:54","그룹 변경","504","새 그룹: 3동"
"A140","2022.08.17. 오후 8:54","우군 입식","504","상태: 수정 준비된 육성우"
"0036","2022.08.17. 오후 8:54","통증 / 스트레스","54","지속 시간: 15:00, 형태: 통증 스트레스"
"A143","2022.08.17. 오후 8:51","그룹 변경","498","새 그룹: 2동"
"A143","2022.08.17. 오후 8:51","우군 입식","498","상태: 수정 준비된 육성우"
"A142","2022.08.17. 오후 8:50","그룹 변경","498","새 그룹: 2동"
"A142","2022.08.17. 오후 8:50","우군 입식","498","상태: 수정 준비된 육성우"
"8071","2022.08.17. 오후 8:49","그룹 변경","12","새 그룹: 3동, 이전 그룹: 2동"
"6006","2022.08.17. 오후 8:47","그룹 변경","59","새 그룹: 3동, 이전 그룹: 2동"
"5090","2022.08.17. 오후 8:45","그룹 변경","35","새 그룹: 3동, 이전 그룹: 2동"
"131","2022.08.17. 오후 8:36","그룹 변경","536","새 그룹: 아래"
"131","2022.08.17. 오후 8:36","우군 입식","536","상태: 수정 준비된 육성우"
"126","2022.08.17. 오후 8:36","그룹 변경","553","새 그룹: 아래"
"126","2022.08.17. 오후 8:36","우군 입식","553","상태: 수정 준비된 육성우"
"121","2022.08.17. 오후 8:36","그룹 변경","562","새 그룹: 아래"
"121","2022.08.17. 오후 8:36","우군 입식","562","상태: 수정 준비된 육성우"
"1054","2022.08.17. 오후 7:00","시스템 발정","157","발정 지수: 91.14"
